Ordre;Region;Famille;Type;Caract√®re;PubMed;Femelle;M.F;No;BothM
108;SSC16:69;Meat_and_Carcass_Association;traitType=Chemistry;trait=Muscle moisture percentage;25962760;0;0;1;0
109;SSC16:69;Meat_and_Carcass_Association;traitType=Chemistry;trait=skatole, laboratory;25879925;0;0;1;0
111;SSC16:69;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Linoleic acid content;22785162;0;0;1;0
120;SSC16:69;Reproduction_Association;traitType=Reproductiveorgans;trait=Seminiferous tubule diameter;26425933;0;0;1;0
123;SSC17:1;Health_Association;traitType=bloodparameters;trait=Mean corpuscular hemoglobin content;22548415;0;0;1;0
124;SSC17:1;Health_Association;traitType=Diseasesusceptibility;trait=PRRSV antibody titer;31150538;0;0;1;0
125;SSC17:1;Health_Association;traitType=Immunecapacity;trait=Lymphocyte number;23691082;0;0;1;0
131;SSC17:43;Exterior_Association;traitType=Behavioral;trait=Coping behavior;26537429;0;0;1;0
132;SSC17:43;Exterior_Association;traitType=Coatcharacteristics;trait=Hair amount;29672877;0;0;1;0
135;SSC17:43;Health_Association;traitType=bloodparameters;trait=Calcium to phosphorus ratio;31316547;0;0;1;0
136;SSC17:43;Health_Association;traitType=Immunecapacity;trait=Eosinophil percentage;28046140;0;0;1;0
137;SSC17:43;Meat_and_Carcass_Association;traitType=ConductivityImpedance;trait=Conductivity 45 minutes post-mortem;29978910;0;0;1;0
140;SSC17:43;Meat_and_Carcass_Association;traitType=fatness;trait=Obesity index;25071839;0;0;1;0
142;SSC17:43;Production_Association;traitType=feedintake;trait=Time in feeder per visit;23977060;0;0;1;0
147;SSC17:60;Health_Association;traitType=bloodparameters;trait=Alkaline phosphatase activity;31316547;0;0;1;0
152;SSC17:60;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Lauric acid content;101;0;0;1;0
159;SSC17:60;Production_Association;traitType=Growth;trait=body length;28111436;0;0;1;0
161;SSC18:10;Health_Association;traitType=bloodparameters;trait=HDL cholesterol;25189197;0;0;1;0
162;SSC18:10;Health_Association;traitType=bloodparameters;trait=Red cell distribution width;27434032;0;0;1;0
163;SSC18:10;Health_Association;traitType=Diseasesusceptibility;trait=Actinobacillus pleuropneumoniae susceptibility;31960078;0;0;1;0
164;SSC18:10;Health_Association;traitType=Immunecapacity;trait=Basophil percentage;28046140;0;0;1;0
168;SSC18:10;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Dihomo-gamma-linolenic acid content;31708975;0;0;1;0
169;SSC18:10;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Fatty acid atherogenic index;27097669;0;0;1;0
172;SSC2:1;Exterior_Association;traitType=Behavioral;trait=Coping behavior;26537429;0;0;1;0
174;SSC2:1;Health_Association;traitType=bloodparameters;trait=Mean corpuscular volume;28046140;0;0;1;0
175;SSC2:1;Health_Association;traitType=Immunecapacity;trait=Lymphocyte number;31065004;0;0;1;0
187;SSC2:1;Meat_and_Carcass_Association;traitType=fatness;trait=Leaf fat weight;25885760;0;0;1;0
193;SSC2:145;Health_Association;traitType=bloodparameters;trait=Cholesterol level;24299188;0;0;1;0
194;SSC2:145;Health_Association;traitType=bloodparameters;trait=Cortisol level;23029068;0;0;1;0
195;SSC2:145;Health_Association;traitType=bloodparameters;trait=HDL/LDL ratio;24299188;0;0;1;0
196;SSC2:145;Health_Association;traitType=bloodparameters;trait=LDL cholesterol;24299188;0;0;1;0
197;SSC2:145;Health_Association;traitType=Immunecapacity;trait=Immunoglobulin G level;24098351;0;0;1;0
198;SSC2:145;Health_Association;traitType=Immunecapacity;trait=Interferon-gamma level;24098351;0;0;1;0
199;SSC2:145;Meat_and_Carcass_Association;traitType=Anatomy;trait=Adrenal gland weight;23029068;0;0;1;0
201;SSC2:145;Meat_and_Carcass_Association;traitType=ConductivityImpedance;trait=Conductivity 45 minutes post-mortem;29978910;0;0;1;0
203;SSC2:145;Meat_and_Carcass_Association;traitType=fatness;trait=leaf fat percentage;23063408;0;0;1;0
204;SSC2:145;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Docosatetraenoic acid content;24299188;0;0;1;0
208;SSC2:145;Production_Association;traitType=Growth;trait=body length;28111436;0;0;1;0
214;SSC2:145;Reproduction_Association;traitType=Reproductivetraits;trait=Gestation length;29411893;0;0;1;0
215;SSC2:151;Exterior_Association;traitType=Behavioral;trait=Coping behavior;26537429;0;0;1;0
218;SSC2:151;Exterior_Association;traitType=defects;trait=Spinal curvature;21176156;0;0;1;0
219;SSC2:151;Health_Association;traitType=bloodparameters;trait=Phosphate level;27296164;0;0;1;0
222;SSC2:151;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Arachidonic acid to dihomo-gamma-linolenic acid ratio;27097669;0;0;1;0
223;SSC2:151;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Dihomo-gamma-linolenic acid to linoleic acid ratio;27097669;0;0;1;0
229;SSC2:45;Exterior_Association;traitType=conformation;trait=Hip structure;19284518;0;0;1;0
230;SSC2:45;Health_Association;traitType=bloodparameters;trait=LDL cholesterol;26121138;0;0;1;0
231;SSC2:45;Health_Association;traitType=bloodparameters;trait=Mean corpuscular hemoglobin content;24674592;0;0;1;0
232;SSC2:45;Health_Association;traitType=bloodparameters;trait=Mean corpuscular volume;24674592;0;0;1;0
233;SSC2:45;Health_Association;traitType=bloodparameters;trait=Plateletcrit;27434032;0;0;1;0
234;SSC2:45;Health_Association;traitType=bloodparameters;trait=Red cell distribution width;24674592;0;0;1;0
235;SSC2:45;Health_Association;traitType=Diseasesusceptibility;trait=Actinobacillus pleuropneumoniae susceptibility;31960078;0;0;1;0
237;SSC2:45;Production_Association;traitType=Growth;trait=Body depth;19284518;0;0;1;0
240;SSC3:124;Meat_and_Carcass_Association;traitType=Chemistry;trait=Residual glycogen;31443641;0;0;1;0
242;SSC3:124;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Stearic acid content;23762394;0;0;1;0
243;SSC3:124;Production_Association;traitType=feedintake;trait=Residual feed intake;26020169;0;0;1;0
245;SSC3:3;Health_Association;traitType=bloodparameters;trait=Mean corpuscular hemoglobin content;27434032;0;0;1;0
251;SSC4:18;Exterior_Association;traitType=Behavioral;trait=Coping behavior;26537429;0;0;1;0
254;SSC4:18;Exterior_Association;traitType=conformation;trait=Hind foot size;19284518;0;0;1;0
256;SSC4:18;Exterior_Association;traitType=defects;trait=Spinal curvature;21176156;0;0;1;0
257;SSC4:18;Health_Association;traitType=Diseasesusceptibility;trait=Enterotoxigenic E. coli susceptibility;26936422;0;0;1;0
260;SSC4:18;Meat_and_Carcass_Association;traitType=Chemistry;trait=Muscle moisture percentage;25678226;0;0;1;0
263;SSC4:18;Meat_and_Carcass_Association;traitType=fatness;trait=Marbling;21846497;0;0;1;0
265;SSC4:18;Production_Association;traitType=Growth;trait=body length;19284518;0;0;1;0
267;SSC4:54;Exterior_Association;traitType=conformation;trait=Cannon bone circumference;31475745;0;0;1;0
268;SSC4:54;Meat_and_Carcass_Association;traitType=Anatomy;trait=Head weight;28727040;0;0;1;0
269;SSC4:54;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Oleic acid to stearic acid ratio;32037995;0;0;1;0
272;SSC5:94;Exterior_Association;traitType=Behavioral;trait=Coping behavior;26537429;0;0;1;0
273;SSC5:94;Exterior_Association;traitType=Eyecolor;trait=Iris pigmentation;32232994;0;0;1;0
274;SSC5:94;Health_Association;traitType=bloodparameters;trait=Phosphate level;31316547;0;0;1;0
275;SSC5:94;Health_Association;traitType=bloodparameters;trait=Platelet count;23691082;0;0;1;0
281;SSC6:13;Exterior_Association;traitType=Eyecolor;trait=Iris pigmentation;32232994;0;0;1;0
282;SSC6:13;Meat_and_Carcass_Association;traitType=ConductivityImpedance;trait=Conductivity 45 minutes post-mortem;29978910;0;0;1;0
286;SSC6:13;Meat_and_Carcass_Association;traitType=fatness;trait=Obesity index;25071839;0;0;1;0
290;SSC6:72;Exterior_Association;traitType=defects;trait=Spinal curvature;21176156;0;0;1;0
291;SSC6:72;Health_Association;traitType=bloodparameters;trait=Mean platelet volume;22548415;0;0;1;0
292;SSC6:72;Health_Association;traitType=bloodparameters;trait=Triglyceride level;25189197;0;0;1;0
293;SSC6:72;Health_Association;traitType=Immunecapacity;trait=Neutrophil count;28046140;0;0;1;0
294;SSC6:72;Health_Association;traitType=Immunecapacity;trait=Neutrophil percentage;28046140;0;0;1;0
296;SSC6:72;Meat_and_Carcass_Association;traitType=Anatomy;trait=diaphragm weight;21107721;0;0;1;0
297;SSC6:72;Meat_and_Carcass_Association;traitType=Anatomy;trait=Front leg weight;21107721;0;0;1;0
300;SSC6:72;Meat_and_Carcass_Association;traitType=ConductivityImpedance;trait=Conductivity 45 minutes post-mortem;29978910;0;0;1;0
301;SSC6:72;Meat_and_Carcass_Association;traitType=ConductivityImpedance;trait=Impedance 24 hours postmortem;24643240;0;0;1;0
305;SSC6:72;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Dihomo-gamma-linolenic acid content;31708975;0;0;1;0
310;SSC6:72;Production_Association;traitType=Growth;trait=body length;19284518;0;0;1;0
315;SSC7:18;Exterior_Association;traitType=Behavioral;trait=Coping behavior;26537429;0;0;1;0
317;SSC7:18;Exterior_Association;traitType=defects;trait=Spinal curvature;21176156;0;0;1;0
318;SSC7:18;Health_Association;traitType=bloodparameters;trait=Alkaline phosphatase activity;31316547;0;0;1;0
319;SSC7:18;Health_Association;traitType=bloodparameters;trait=Cholesterol level;31065004;0;0;1;0
320;SSC7:18;Health_Association;traitType=bloodparameters;trait=Hematocrit;24674592;0;0;1;0
321;SSC7:18;Health_Association;traitType=bloodparameters;trait=Mean corpuscular hemoglobin concentration;28046140;0;0;1;0
322;SSC7:18;Health_Association;traitType=bloodparameters;trait=Mean corpuscular volume;28046140;0;0;1;0
323;SSC7:18;Health_Association;traitType=bloodparameters;trait=Red blood cell count;24674592;0;0;1;0
324;SSC7:18;Health_Association;traitType=Immunecapacity;trait=Basophil percentage;28046140;0;0;1;0
327;SSC7:18;Meat_and_Carcass_Association;traitType=Chemistry;trait=skatole, laboratory;25879925;0;0;1;0
329;SSC7:18;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Dihomo-gamma-linolenic acid to gamma-linolenic acic ratio;27097669;0;0;1;0
330;SSC7:18;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Gamma-linolenic acid to linoleic acid ratio;27097669;0;0;1;0
332;SSC7:18;Production_Association;traitType=feedintake;trait=Residual feed intake;25250046;0;0;1;0
335;SSC7:18;Production_Association;traitType=Growth;trait=Chest width;31909836;0;0;1;0
337;SSC7:85;Health_Association;traitType=bloodparameters;trait=Mean platelet volume;27434032;0;0;1;0
339;SSC7:85;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Capric acid content;32037995;0;0;1;0
340;SSC7:85;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Myristic acid content;32037995;0;0;1;0
341;SSC7:85;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Oleic acid content;32037995;0;0;1;0
342;SSC7:85;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Omega-6 to omega-3 fatty acid ratio;32037995;0;0;1;0
343;SSC7:85;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Palmitic acid content;32037995;0;0;1;0
344;SSC7:85;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Total fatty acid content;32037995;0;0;1;0
345;SSC7:85;Meat_and_Carcass_Association;traitType=flavor;trait=Umami flavor intensity;30153624;0;0;1;0
347;SSC7:85;Production_Association;traitType=Growth;trait=Chest width;28111436;0;0;1;0
353;SSC8:124;Health_Association;traitType=bloodparameters;trait=Cortisol level;23029068;0;0;1;0
355;SSC8:124;Production_Association;traitType=Growth;trait=Ulna length;26219668;0;0;1;0
357;SSC8:80;Exterior_Association;traitType=Behavioral;trait=Coping behavior;26537429;0;0;1;0
359;SSC8:80;Health_Association;traitType=bloodparameters;trait=Mean corpuscular hemoglobin content;24797309;0;0;1;0
360;SSC8:80;Health_Association;traitType=bloodparameters;trait=Mean corpuscular volume;24797309;0;0;1;0
361;SSC8:80;Health_Association;traitType=bloodparameters;trait=Red blood cell count;24797309;0;0;1;0
362;SSC8:80;Health_Association;traitType=Immunecapacity;trait=Lymphocyte number;28046140;0;0;1;0
363;SSC8:80;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Monounsaturated fatty acid content;27097669;0;0;1;0
364;SSC8:80;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Monounsaturated fatty acid to saturated fatty acid ratio;27097669;0;0;1;0
365;SSC8:80;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Oleic acid to stearic acid ratio;27097669;0;0;1;0
366;SSC8:80;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Saturated fatty acid content;27097669;0;0;1;0
367;SSC8:80;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Unsaturated to saturated fatty acid ratio;27097669;0;0;1;0
370;SSC8:80;Production_Association;traitType=feedintake;trait=Residual feed intake;25250046;0;0;1;0
372;SSC9:101;Exterior_Association;traitType=Behavioral;trait=Coping behavior;26537429;0;0;1;0
374;SSC9:101;Meat_and_Carcass_Association;traitType=Chemistry;trait=androstenone, laboratory;25149343;0;0;1;0
375;SSC9:101;Meat_and_Carcass_Association;traitType=ConductivityImpedance;trait=Conductivity 45 minutes post-mortem;29978910;0;0;1;0
376;SSC9:101;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Arachidonic acid content;31708975;0;0;1;0
377;SSC9:101;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Arachidonic acid to linoleic acid ratio;31708975;0;0;1;0
382;SSC9:107;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Dihomo-gamma-linolenic acid content;31708975;0;0;1;0
383;SSC9:107;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Dihomo-gamma-linolenic acid to linoleic acid ratio;27097669;0;0;1;0
384;SSC9:107;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Palmitoleic acid content;101;0;0;1;0
386;SSC9:107;Production_Association;traitType=feedintake;trait=Residual feed intake;24533460;0;0;1;0
387;SSC9:19;Meat_and_Carcass_Association;traitType=Anatomy;trait=Adrenal gland weight;23029068;0;0;1;0
390;SSC9:19;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Eicosenoic acid to eicosanoic acid ratio;22785162;0;0;1;0
391;SSC9:19;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Lauric acid content;101;0;0;1;0
392;SSC9:19;Meat_and_Carcass_Association;traitType=Fattyacidcontent;trait=Palmitoleic acid content;101;0;0;1;0
182;SSC2:1;Meat_and_Carcass_Association;traitType=fatness;trait=Abdominal fat weight;25885760;0;0;1;0
156;SSC17:60;Meat_and_Carcass_Association;traitType=pH;trait=pH 48 hr post-mortem (loin);18717966;0;0;1;0
32;SSC1:253;Meat_and_Carcass_Association;traitType=pH;trait=pH 45 minutes post mortem;25678226;0;0;1;0
112;SSC16:69;Meat_and_Carcass_Association;traitType=pH;trait=45 min-24 h pH decline;25962760;0;0;1;0
307;SSC6:72;Meat_and_Carcass_Association;traitType=pH;trait=pH 45 minutes post mortem;24643240;0;0;1;0
62;SSC10:62;Production_Association;traitType=feedintake;trait=feed intake per feeding;23977060;0;0;1;0
127;SSC17:1;Production_Association;traitType=feedintake;trait=Number of visits to feeder per day;23977060;0;0;1;0
7;SSC1:110;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
16;SSC1:16;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
70;SSC11:51;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
95;SSC13:191;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;29522525;0;0;1;0
100;SSC13:99;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;31316554;0;0;1;0
126;SSC17:1;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;30381738;0;0;1;0
139;SSC17:43;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
167;SSC18:10;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
241;SSC3:124;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
246;SSC3:3;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;26578072;0;0;1;0
262;SSC4:18;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;21846497;0;0;1;0
285;SSC6:13;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
304;SSC6:72;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;22688438;0;0;1;0
328;SSC7:18;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;31316554;0;0;1;0
338;SSC7:85;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
354;SSC8:124;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;23724019;0;0;1;0
389;SSC9:19;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;30381738;0;0;1;0
209;SSC2:145;Production_Association;traitType=Growth;trait=Body weight (46 days);25885760;0;0;1;0
114;SSC16:69;Meat_and_Carcass_Association;traitType=texture;trait=Drip loss;26580276;0;0;1;0
157;SSC17:60;Meat_and_Carcass_Association;traitType=texture;trait=Drip loss;18717966;0;0;1;0
205;SSC2:145;Meat_and_Carcass_Association;traitType=texture;trait=Drip loss;23063408;0;0;1;0
308;SSC6:72;Meat_and_Carcass_Association;traitType=texture;trait=Drip loss;24605821;0;0;1;0
130;SSC17:1;Reproduction_Association;traitType=Littertraits;trait=Number of mummified pigs;31362194;5;0;0;0
13;SSC1:110;Reproduction_Association;traitType=Reproductivetraits;trait=Sperm motility;25459079;0;0;1;0
226;SSC2:151;Reproduction_Association;traitType=Reproductivetraits;trait=Sperm motility;26425933;0;0;1;0
42;SSC1:95;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass length;29672875;0;0;1;0
69;SSC11:51;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass length;27094516;0;0;1;0
258;SSC4:18;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass length;27473603;0;0;1;0
181;SSC2:1;Meat_and_Carcass_Association;traitType=Anatomy;trait=Meat to fat ratio;30308042;0;0;1;0
12;SSC1:110;Meat_and_Carcass_Association;traitType=pH;trait=pH 24 hr post-mortem (loin);22688438;0;0;1;0
113;SSC16:69;Meat_and_Carcass_Association;traitType=pH;trait=pH 24 hr post-mortem (loin);26580276;0;0;1;0
270;SSC4:54;Meat_and_Carcass_Association;traitType=pH;trait=pH 24 hr post-mortem (loin);24643240;0;0;1;0
57;SSC10:62;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;23840294;0;0;1;0
150;SSC17:60;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;23840294;0;0;1;0
165;SSC18:10;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;32344859;0;0;1;0
179;SSC2:1;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;21383979;0;0;1;0
298;SSC6:72;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;21383979;0;0;1;0
326;SSC7:18;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle depth;31188900;0;0;1;0
106;SSC16:69;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass weight (cold);26580276;0;0;1;0
148;SSC17:60;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass weight (cold);26580276;0;0;1;0
65;SSC10:62;Reproduction_Association;traitType=Reproductivetraits;trait=Age at first farrowing;29411893;0;0;1;0
19;SSC1:16;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
40;SSC1:253;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
66;SSC10:62;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;29411893;0;0;1;0
72;SSC11:51;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
86;SSC13:109;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23437861;0;0;1;0
90;SSC13:113;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
213;SSC2:145;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
271;SSC4:54;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
279;SSC5:94;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
349;SSC7:85;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
396;SSC9:19;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23437861;0;0;1;0
314;SSC6:72;Reproduction_Association;traitType=Reproductivetraits;trait=Weaning to conception interval;29879826;0;0;1;0
217;SSC2:151;Exterior_Association;traitType=defects;trait=Scrotal/inguinal hernia;25886970;0;1;0;0
352;SSC8:124;Exterior_Association;traitType=defects;trait=Scrotal/inguinal hernia;31608119;0;1;0;0
